Title,Price,Area,Area-Type
"2 BHK Flat for Sale in Ashok Nagar, Mangalore",₹39 Lac,730 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹3.15 Cr,3300 sqft,Super Area
"3 BHK Flat for Sale in Padukodi, Mangalore",₹1018.80 Cr,1415 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹73 Lac,1275 sqft,Carpet Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹45 Lac,780 sqft,Carpet Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹32 Lac,900 sqft,Super Area
"2 BHK Flat for Sale in Ashok Nagar, Mangalore",₹43 Lac,1025 sqft,Carpet Area
"2 BHK Flat for Sale in Urwa, Mangalore",₹47 Lac,1245 sqft,Super Area
"3 BHK Flat for Sale in Balmatta, Mangalore",₹1.10 Cr,1670 sqft,Super Area
"2 BHK Flat for Sale in Mannagudda, Mangalore",₹65 Lac,1048 sqft,Super Area
"1 BHK Flat for Sale in Kulshekar, Mangalore",₹16.5 Lac,500 sqft,Carpet Area
"3 BHK Flat for Sale in Mannagudda, Mangalore",₹37.5 Lac,900 sqft,Carpet Area
"2 BHK Flat for Sale in Kavoor, Mangalore",₹34 Lac,940 sqft,Carpet Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹81.4 Lac,1225 sqft,Super Area
"4 BHK Flat for Sale in Pumpwell, Mangalore",₹2.77 Cr,5228 sqft,Super Area
"4 BHK Flat for Sale in Pumpwell, Mangalore",₹2.08 Cr,2870 sqft,Super Area
"3 BHK Flat for Sale in Pumpwell, Mangalore",₹1.18 Cr,1831 sqft,Super Area
"3 BHK Flat for Sale in Pumpwell, Mangalore",₹1.08 Cr,1646 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹81.4 Lac,1224 sqft,Super Area
"2 BHK Flat for Sale in Kavoor, Mangalore",₹40 Lac,1100 sqft,Carpet Area
"2 BHK Flat for Sale in Yeyyadi, Mangalore",₹82 Lac,1600 sqft,Super Area
"1 BHK Flat for Sale in Shakti Nagar, Mangalore",₹20 Lac,470 sqft,Super Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹52.3 Lac,1260 sqft,Super Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹56.9 Lac,1370 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹43.6 Lac,1050 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹34 Lac,740 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹41.9 Lac,1010 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹44.4 Lac,1070 sqft,Super Area
"2 BHK Flat for Sale in Kadri, Mangalore",₹55 Lac,1600 sqft,Super Area
"2 BHK Flat for Sale in Kankanady, Mangalore",₹1 Cr,1160 sqft,Carpet Area
