Price,Area,BHK,Location,Type,Price_num,Price/Sqft
28 Lac,975.0,1,Others,Flat,2800000.0,2872.0
24 Lac,490.0,1,Kulshekar,Flat,2400000.0,4898.0
24 Lac,760.0,2,Kaprigudda,Flat,2400000.0,3158.0
50 Lac,1000.0,2,Road,Flat,5000000.0,5000.0
1.15 Cr,1345.0,2,Road,Flat,11500000.0,8550.0
1.15 Cr,1344.0,2,Bejai,Flat,11500000.0,8557.0
1.15 Cr,1345.0,2,Bejai,Flat,11500000.0,8550.0
1.05 Cr,1279.0,2,Bejai,Flat,10500000.0,8210.0
1.85 Cr,2237.0,4,Road,Flat,18500000.0,8270.0
1.50 Cr,1740.0,3,Road,Flat,15000000.0,8621.0
1.35 Cr,1589.0,3,Road,Flat,13500000.0,8496.0
67 Lac,1875.0,2,Mannagudda,Flat,6700000.0,3573.0
23 Lac,980.0,2,Others,Flat,2300000.0,2347.0
35 Lac,1000.0,2,Mannagudda,Flat,3500000.0,3500.0
55 Lac,1699.5,2,Others,Flat,5500000.0,3236.0
80 Lac,1250.0,2,Kulai,Flat,8000000.0,6400.0
46 Lac,1035.0,2,Bejai,Flat,4600000.0,4444.0
45 Lac,1212.0,2,Kottara,Flat,4500000.0,3713.0
1.45 Cr,2400.0,3,Bejai,Flat,14500000.0,6042.0
1.05 Cr,1279.0,2,Road,Flat,10500000.0,8210.0
65 Lac,2400.0,3,Pumpwell,Flat,6500000.0,2708.0
75 Lac,1425.0,3,Kodailbail,Flat,7500000.0,5263.0
45 Lac,1080.0,2,Nagar,Flat,4500000.0,4167.0
55 Lac,994.0,2,Kottara,Flat,5500000.0,5533.0
1.20 Cr,2400.0,3,Others,Flat,12000000.0,5000.0
1.78 Cr,1681.5,2,Kulai,Flat,17800000.0,10586.0
27 Lac,800.0,2,Bondel,Flat,2700000.0,3375.0
2.65 Cr,2433.0,3,Kulai,Flat,26500000.0,10892.0
2.80 Cr,4775.0,5,Kadri,Flat,28000000.0,5864.0
75 Lac,2250.0,3,Others,Flat,7500000.0,3333.0
42 Lac,1147.5,0,Kadri,Flat,4200000.0,3660.0
1.30 Cr,3150.0,3,Falnir,Flat,13000000.0,4127.0
21 Lac,650.0,1,Bondel,Flat,2100000.0,3231.0
45 Lac,1100.0,2,Others,Flat,4500000.0,4091.0
65 Lac,1359.0,2,Kulai,Flat,6500000.0,4783.0
85 Lac,2250.0,3,Padil,Flat,8500000.0,3778.0
50 Lac,1590.0,3,Alape,Flat,5000000.0,3145.0
80 Lac,2250.0,3,Kotekani,Flat,8000000.0,3556.0
11.41 Cr,10956.0,5,Kulai,Flat,114100000.0,10414.0
7.40 Cr,7314.0,4,Kulai,Flat,74000000.0,10118.0
7.21 Cr,7124.0,4,Kulai,Flat,72100000.0,10121.0
5.05 Cr,4956.0,4,Kulai,Flat,50500000.0,10190.0
3.57 Cr,3211.5,3,Kulai,Flat,35700000.0,11116.0
90 Lac,2475.0,2,Urwa,Flat,9000000.0,3636.0
25 Lac,1305.0,2,Ullal,Flat,2500000.0,1916.0
65 Lac,1800.0,2,Others,Flat,6500000.0,3611.0
35 Lac,1275.0,2,Alape,Flat,3500000.0,2745.0
65 Lac,1243.0,2,Bikarnakatta,Flat,6500000.0,5229.0
38 Lac,1100.0,2,Attavar,Flat,3800000.0,3455.0
1.55 Cr,2300.0,3,Nanthoor,Flat,15500000.0,6739.0
94.8 Lac,1405.0,2,Nanthoor,Flat,9480000.0,6747.0
1.08 Cr,1646.0,3,Road,Flat,10800000.0,6561.0
1.18 Cr,1831.0,3,Road,Flat,11800000.0,6445.0
2.08 Cr,2870.0,4,Road,Flat,20800000.0,7247.0
